district,fiscal_year,check,name,car,audited,gap,gap_pct,flag
Dubuque CSD,2021,C8_net_change,Net change in fund balance,6805992.03,6805992.0,0.03,0.0,
Dubuque CSD,2022,C1_ending,Ending GF fund balance,30277494.9,30277495.0,-0.1,-0.0,
Dubuque CSD,2022,C10_revenue,GF revenue,149915295.23,149213189.0,702106.23,0.47,
Dubuque CSD,2022,C11_expenditure,GF expenditure,144568946.46,144537665.0,31281.46,0.02,
Dubuque CSD,2022,C13_margin,Operating margin %,3.57,3.13,0.44,,
Dubuque CSD,2022,C18_fb_pct_exp,Fund balance % of expenditure,20.94,20.95,-0.0,,
Dubuque CSD,2022,C6_rollforward,CAR begin = prior CAR end,24931146.13,24931146.13,0.0,0.0,
Dubuque CSD,2022,C7_begin_vs_audit,CAR begin vs prior audited end,24931146.13,24931146.0,0.13,0.0,
Dubuque CSD,2022,C8_net_change,Net change in fund balance,5346348.77,5346349.0,-0.23,-0.0,
Dubuque CSD,2023,C1_ending,Ending GF fund balance,27589008.77,27589009.0,-0.23,-0.0,
Dubuque CSD,2023,C2_available,Available (unassigned+assigned),25481734.15,25481734.0,0.15,0.0,
Dubuque CSD,2023,C10_revenue,GF revenue,139930151.32,139402754.0,527397.32,0.38,
Dubuque CSD,2023,C11_expenditure,GF expenditure,142618637.45,142565488.0,53149.45,0.04,
Dubuque CSD,2023,C13_margin,Operating margin %,-1.92,-2.27,0.35,,
Dubuque CSD,2023,C18_fb_pct_exp,Fund balance % of expenditure,19.34,19.35,-0.01,,
Dubuque CSD,2023,C17_solvency,Solvency ratio %,18.21,19.03,-0.82,,
Dubuque CSD,2023,C14_cash,GF operating cash,37633248.97,37439396.0,193852.97,0.52,
Dubuque CSD,2023,C15_days_cash,Days cash on hand,96.31,95.85,0.46,,
Dubuque CSD,2023,C6_rollforward,CAR begin = prior CAR end,30277494.9,30277494.9,0.0,0.0,
Dubuque CSD,2023,C7_begin_vs_audit,CAR begin vs prior audited end,30277494.9,30277495.0,-0.1,-0.0,
Dubuque CSD,2023,C8_net_change,Net change in fund balance,-2688486.13,-2688486.0,-0.13,0.0,
Iowa City CSD,2018,C6_rollforward,CAR begin = prior CAR end,23807427.0,23807427.0,0.0,0.0,
Iowa City CSD,2019,C6_rollforward,CAR begin = prior CAR end,21085744.99,21085745.0,-0.01,-0.0,
Iowa City CSD,2020,C1_ending,Ending GF fund balance,11236307.39,11240140.0,-3832.61,-0.03,
Iowa City CSD,2020,C10_revenue,GF revenue,169748696.01,169739238.0,9458.01,0.01,
Iowa City CSD,2020,C11_expenditure,GF expenditure,173399139.65,173099142.0,299997.65,0.17,
Iowa City CSD,2020,C13_margin,Operating margin %,-2.15,-1.98,-0.17,,
